Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0;20;1798.81;8.27;7.27;10.18;8.93;33.88;0;23.44;10.43;33.9;0;7.643;3.843;4.361;1.101;2.295;1.325;3.201;0.041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;25;1704.78;10.13;7.95;10.98;9.7;44.4;0;33.85;10.55;44.4;0;12.042;4.069;5.419;1.368;2.719;1.7;4.174;0.073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;10;30;1651.22;12.17;8.69;11.87;10.49;57.25;0;46.8;10.45;57.2;0;17.325;4.111;6.567;1.678;3.151;2.147;5.369;0.113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;15;35;1605.19;14.21;9.4;12.75;11.23;71.22;0;61.37;9.85;71.2;0;23.248;3.922;7.677;2;3.544;2.623;6.676;0.159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;20;40;1563.17;16.17;10.08;13.6;11.91;85.84;0;77.06;8.79;85.8;0;29.634;3.519;8.709;2.326;3.881;3.113;8.058;0.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;25;45;1523.67;17.86;10.66;14.36;12.47;99.36;7.78;84.09;7.49;99.4;0;35.722;3.014;9.56;2.616;4.136;3.557;9.348;0.261;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;30;50;1486.32;19.48;11.2;15.08;12.99;112.94;14.99;90.28;7.67;112.9;0;41.241;3.101;10.337;2.903;4.351;4;10.662;0.313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;35;55;1450.88;21;11.7;15.77;13.47;126.34;19.86;100.38;6.1;126.3;0;47.416;2.466;11.026;3.179;4.522;4.431;11.973;0.366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;40;60;1417.19;22.44;12.16;16.44;13.9;139.49;23.93;110.6;4.95;139.5;0;53.323;2.002;11.642;3.446;4.66;4.851;13.276;0.419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;45;65;1385.11;23.79;12.59;17.08;14.3;152.33;36.19;111.42;4.72;152.3;0;58.735;1.913;12.188;3.702;4.767;5.257;14.561;0.472;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;50;70;1354.57;25.05;12.98;17.69;14.67;164.64;51.96;108.17;4.52;164.6;0;63.93;1.835;12.668;3.946;4.847;5.644;15.817;0.523;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;55;75;1325.49;26.23;13.35;18.28;15.01;176.48;58.45;113.69;4.34;176.5;0;68.926;1.765;13.095;4.177;4.906;6.014;17.039;0.574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;60;80;1297.81;27.32;13.68;18.84;15.32;187.67;64.92;118.56;4.18;187.7;0;73.655;1.703;13.468;4.394;4.946;6.364;18.216;0.623;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;65;85;1271.48;28.34;13.99;19.38;15.61;198.38;78.09;116.26;4.04;198.4;0;78.191;1.647;13.798;4.6;4.972;6.695;19.352;0.671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;70;90;1246.45;29.3;14.27;19.9;15.87;208.51;88.4;116.21;3.9;208.5;0;82.481;1.596;14.092;4.793;4.987;7.008;20.444;0.718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;75;95;1222.65;30.19;14.54;20.41;16.12;218.14;95.74;118.61;3.79;218.1;0;86.568;1.549;14.353;4.975;4.993;7.304;21.495;0.764;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;80;100;1200.05;31.02;14.78;20.89;16.35;227.21;109.93;113.6;3.67;227.2;0;90.425;1.505;14.586;5.147;4.992;7.583;22.502;0.809;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;85;105;1174.19;31.69;15;21.35;16.55;234.99;117.39;114.05;3.55;235;0;93.76;1.458;14.782;5.292;4.98;7.821;23.394;0.852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;90;110;1126.57;31.73;15.16;21.82;16.72;237.31;115.24;118.71;3.36;237.3;0;94.901;1.379;14.895;5.331;4.939;7.903;23.824;0.889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;95;115;1082.8;31.77;15.32;22.27;16.88;239.51;124.16;112.17;3.18;239.5;0;95.986;1.308;14.997;5.366;4.899;7.978;24.228;0.926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;100;120;1042.64;31.8;15.48;22.71;17.04;241.62;128.31;110.28;3.02;241.6;0;97.014;1.243;15.09;5.399;4.86;8.047;24.612;0.962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;105;125;1005.7;31.84;15.62;23.14;17.2;243.66;131.63;109.15;2.88;243.7;0;98.006;1.184;15.175;5.429;4.822;8.111;24.977;0.998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;110;130;971.64;31.87;15.77;23.55;17.35;245.63;135.1;107.78;2.75;245.6;0;98.959;1.131;15.253;5.457;4.785;8.171;25.324;1.034;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
